Quasars
specObjID,class,redshift,redshiftError,spectroSynFluxIvar_u,spectroSynFluxIvar_g,spectroSynFluxIvar_r,spectroSynFluxIvar_z,spectroSynFluxIvar_i,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,plate,mjd,fiberid,run2d,objid,ra,dec,u,g,r,i,z,fieldID,err_u,err_g,err_r,err_i,err_z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroRadErr_u,petroRadErr_g,petroRadErr_r,petroRadErr_z,petroRadErr_i
801787005611567104,QSO,1.129553,0.0006647565,2.794154,3.327961,3.424493,1.236406,2.662322,29.13982,27.75932,12.97736,16.02162,712,52199,532,26,1237645943976820842,51.5403284730902,1.04626735437758,19.73723,19.23935,18.79191,18.66024,18.61958,1237645943976820736,0.03015593,0.01010207,0.009149267,0.01090998,0.03020399,1.382736,10.98159,1.254844,1.396759,1.643641,0.06881437,3.54439,0.03402052,0.2267224,0.04136237
2970294172377966592,QSO,2.231342,0.000760604,5.146805,4.781103,2.894459,0.9681446,1.747077,1.338036,1.496976,0.75981,1.018785,2638,54095,619,26,1237645943978852761,56.3049097743876,0.934554208847245,22.11466,21.52247,21.38193,21.33776,20.66855,1237645943978852352,0.1713601,0.04669471,0.05708643,0.07980055,0.1543656,1.091827,1.205386,1.319592,1.202728,2.797232,0.4569093,0.08314251,0.1492911,1.673648,0.1771684
8175228603598133248,QSO,0.2379307,2.471125E-05,1.968197,1.514135,1.237331,0.6770611,1.529944,21.85455,32.30394,3.439956,4.603392,7261,56603,252,v5_13_2,1237646587710341717,81.2999525089675,0.732651434774658,19.3174,18.97724,18.28066,17.8095,17.57444,1237646587710341120,0.02713003,0.01026127,0.008388663,0.008560264,0.02009249,1.280163,1.701897,1.915578,1.968805,1.920784,0.07122103,0.04890106,0.06912185,0.1119609,0.08157827
8175230802621388800,QSO,0.2800102,3.73781E-05,1.968197,1.514135,1.237331,0.6770611,1.529944,12.02439,18.5629,2.914264,3.417439,7261,56603,260,v5_13_2,1237646588247147247,81.2514799253052,1.10647740399883,20.47642,19.9783,19.26603,18.88072,18.4786,1237646588247146496,0.06011337,0.01800967,0.01457062,0.0159083,0.03984847,1.217654,1.581299,1.634434,2.075669,1.666989,0.5707723,0.08496616,0.07989585,0.1618267,0.3198001
8175230527743481856,QSO,0.5890356,0.0002457949,1.968197,1.514135,1.237331,0.6770611,1.529944,3.59892,4.906387,3.273587,3.090998,7261,56603,259,v5_13_2,1237646588247147385,81.2452814674267,1.08102418936171,20.86217,20.36545,20.27107,19.89861,19.99819,1237646588247146496,0.0707755,0.02113332,0.02656965,0.03017365,0.1272905,2.034471,1.394002,1.364708,1.593082,3.379209,0.9757044,0.06664427,0.1416093,2.214686,0.1637845
897375798825084928,QSO,2.417638,0.0003646141,2.675089,3.594621,4.200565,1.566255,3.386168,14.27112,17.61287,2.883404,10.37148,797,52263,122,26,1237646646223700204,71.8797885789365,-0.760751043108181,20.54287,19.76393,19.53163,19.54317,19.28775,1237646646223699968,0.05274802,0.01409738,0.01659588,0.02135107,0.05885656,1.475817,1.421353,1.337888,1.247236,2.806115,0.1048965,0.0278422,0.04605353,1.559731,0.07368094
897372775168108544,QSO,1.565817,0.0003445773,2.675089,3.594621,4.200565,1.566255,3.386168,20.14964,20.40025,13.80641,14.83435,797,52263,111,26,1237646646760833395,72.5135886973861,-0.397556182855228,20.30754,19.95564,19.77398,19.46468,19.43733,1237646646760833024,0.04133812,0.01568749,0.01801448,0.01944188,0.07281095,1.407013,1.361189,1.222797,1.068534,1.111873,0.1038621,0.04202251,0.0468415,0.5348054,0.03525174
897375249069271040,QSO,2.532905,0.0004178853,2.675089,3.594621,4.200565,1.566255,3.386168,18.64613,22.56242,7.826082,14.65964,797,52263,120,26,1237646646760898938,72.686953750251,-0.312133159817692,20.24535,19.53339,19.40534,19.34707,19.04157,1237646646760898560,0.04040955,0.01202545,0.01385684,0.01830064,0.05271294,1.470341,1.32014,1.195443,1.24272,1.374063,0.09420907,0.02253363,0.03308183,1.030947,0.07626726
8175233001644644352,QSO,1.690542,0.000357572,1.968197,1.514135,1.237331,0.6770611,1.529944,10.63908,12.21368,2.748295,4.873052,7261,56603,268,v5_13_2,1237646794375234203,81.2383815978689,1.3749524960238,19.61015,19.30882,19.24107,18.98773,18.9502,1237646794375233536,0.03023938,0.01074306,0.01329399,0.01670031,0.05196991,1.776123,1.471444,1.384119,1.501285,1.508399,0.2025886,0.03021899,0.04772964,0.2572369,0.07278824
8175222281406273536,QSO,0.8904527,0.0001671106,1.968197,1.514135,1.237331,0.6770611,1.529944,9.368351,11.51313,6.98144,7.624768,7261,56603,229,v5_13_2,1237646794375234291,81.2763075334745,1.39762918186625,19.92903,19.5961,19.33418,19.37326,19.23007,1237646794375233536,0.03716168,0.01278535,0.01414433,0.02233382,0.06661539,1.617513,1.3199,1.380416,1.393206,7.357755,0.1130938,0.0274412,0.06574133,-1000,0.0827181
8175220907016738816,QSO,0.6226996,7.089679E-05,1.968197,1.514135,1.237331,0.6770611,1.529944,13.20672,15.89078,5.55743,8.342679,7261,56603,224,v5_13_2,1237646794375299620,81.2979880223249,1.32844937226292,20.16929,19.62649,19.59781,19.38033,19.48661,1237646794375299072,0.04458818,0.01321285,0.01720375,0.02253368,0.08614505,1.497745,1.367393,7.354068,1.538973,1.390667,0.1026305,0.03498365,0.09641087,0.2652734,0.1144835
8175222006528366592,QSO,2.665619,0.0006995658,1.968197,1.514135,1.237331,0.6770611,1.529944,1.81509,3.063978,0.09485222,0.1795839,7261,56603,228,v5_13_2,1237646794375365787,81.45143917873,1.42220610408994,23.29749,21.03446,20.4031,20.09986,19.96847,1237646794375364608,0.5009128,0.03342627,0.03207772,0.03965444,0.1296845,18.01691,5.108868,1.436542,1.623596,1.550116,-1000,0.114488,0.08264034,0.3132488,0.7208098
385077312841869312,QSO,1.556218,0.0003765507,1.482145,0.9399006,1.136736,0.7668418,1.18191,23.17918,22.28392,13.56614,13.84113,342,51691,71,26,1237648673992605833,237.849155068987,-0.155026529290194,19.63747,19.36637,19.16615,18.90895,18.93759,1237648673992605696,0.02785254,0.0115239,0.01233974,0.01376677,0.0495221,1.659268,1.587767,1.275004,1.219838,1.14649,0.1028245,0.03248782,0.03253926,0.1553835,0.03916138
