,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
166119,QSO,2.396657,1.408968,1.329772,1.163765,1.673661,22.4336,21.87867,21.86782,21.62766,21.45428,1.196292,1.031593,1.195002,1.019526,2.28683
1234334,GALAXY,0.5921507,6.709026,10.9199,-0.04281909,0.3798308,24.46514,22.72479,21.13365,20.03158,19.72632,11.30947,2.970859,2.345299,2.894325,2.645218
669527,STAR,3.441573e-05,331.2538,436.6342,7.972938,76.67119,20.41325,17.80825,16.78471,16.3821,16.14392,1.384724,1.525961,1.075819,1.07336,1.282098
36704,QSO,1.646021,2.267789,1.528401,1.351778,1.537401,20.81519,20.62489,20.47181,20.25238,20.18313,5.384895,1.236044,1.125203,1.150542,1.58544
208063,QSO,0.1923428,33.07586,35.4163,11.4703,11.93794,19.84227,19.38288,18.7609,18.33701,18.19236,1.469417,1.723333,2.045222,2.128398,1.98425
513018,STAR,-0.0001740284,62.28045,57.47664,20.31488,41.95378,19.60401,18.48561,18.09548,17.96199,17.87381,1.394614,1.404505,1.291586,1.206551,1.169191
986601,GALAXY,0.0606165,6.282751,7.713344,0.2975808,2.101817,26.52171,19.74194,19.17277,18.92176,18.87947,18.02096,4.669941,5.374279,4.015606,5.128829
337929,QSO,2.554702,2.827641,3.629989,1.500805,2.117374,22.2168,20.98094,20.74739,20.77026,20.41133,1.880054,1.652758,1.27661,1.107341,1.099539
86336,QSO,2.089525,5.901217,7.05628,5.108712,4.749331,21.09495,20.95089,20.83105,20.71359,20.45811,2.803254,1.593658,1.436085,1.499908,1.789906
13381,QSO,2.412951,8.821507,10.57261,4.879228,7.935833,20.76733,20.15819,20.11259,20.21504,20.09512,1.419235,5.53355,1.242746,1.173547,1.210938
1098563,GALAXY,0.2006322,66.69918,90.08022,3.990646,12.08865,20.7873,18.86005,17.51508,16.9809,16.67582,2.970172,4.824125,4.540707,4.492188,3.72622
662432,STAR,1.724625e-05,23.46537,25.04103,6.54655,15.53613,20.95191,19.59991,19.3454,19.26874,19.21972,1.268298,1.231399,1.179502,1.152533,1.00847
720623,STAR,0.0001961128,48.39605,51.452,16.811,30.19469,19.80945,18.86219,18.53047,18.38272,18.37467,1.335027,1.326019,1.25617,1.09748,1.25247
731711,STAR,2.018103e-05,17.00577,18.03874,5.720938,12.19433,20.67603,19.43654,19.23125,19.13062,19.06473,1.390571,1.059264,1.099371,0.9303524,0.8950731
809529,STAR,-7.643214e-05,18.75883,20.03683,4.566288,9.310193,22.62699,20.095,19.60169,19.85372,22.82691,0.5415165,1.355773,1.149908,0.7909949,2.969444
