i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,singlePeak,doublePeak,rotation,phaseAmplitude,t_char,rBLR,FHWM
45.0,25250.0,2.525,100.0,0.0,0.0,0.5,0.0,360.0,2.0,True,False,cw,1.6760448982205878e+16,2189.582816809414,3795.668716942638,1800.0000000000016
45.0,25250.0,2.525,2.0,0.5,1.0,1.0,0.0,180.0,0.0,True,False,ccw,1.844984196029237e+16,2916.804693075478,3792.0544634629705,1499.9999999999682
45.0,500.0,5.0,100.0,1.0,0.0,1.0,0.0,180.0,0.0,True,False,ccw,436482467045132.1,123.81274754014288,148.77512641669497,29699.999999999996
45.0,25250.0,2.525,2.0,0.0,0.5,0.0,1.0,0.0,-2.0,True,False,cw,2.383266187240197e+16,2187.249905463188,3791.98399626044,1800.0000000000016
45.0,500.0,5.0,2.0,0.0,0.0,0.0,0.5,0.0,-2.0,True,False,cw,548197845982035.5,85.77422746265913,148.6906772379351,13200.000000000013
45.0,500.0,0.05,100.0,1.0,0.0,1.0,1.0,360.0,0.0,True,False,cw,443263803510360.0,1.1152521850277897,1.487340455832835,29699.999999999996
45.0,500.0,5.0,51.0,1.0,0.5,0.5,1.0,180.0,2.0,False,True,ccw,331398449324237.5,98.70262503357,148.8069752299889,14999.999999999947
45.0,25250.0,2.525,2.0,0.5,1.0,0.5,0.0,180.0,-2.0,True,False,ccw,1.740190402355458e+16,2949.330353548465,3792.177656023103,1499.9999999999682
45.0,25250.0,5.0,2.0,1.0,0.5,0.5,0.0,360.0,-2.0,True,False,cw,1.375865912909522e+16,5385.725499904162,7509.8209634758705,1200.0000000000011
45.0,500.0,2.525,51.0,1.0,1.0,0.0,0.5,180.0,0.0,False,True,ccw,417435574217954.7,43.322068316996976,75.09470788502189,29699.999999999996
45.0,25250.0,0.05,2.0,0.5,0.0,0.5,0.5,180.0,2.0,True,False,ccw,2.066104584438413e+16,56.30042964123047,75.09460104430161,1800.0000000000016
45.0,25250.0,2.525,100.0,1.0,1.0,0.5,0.0,180.0,-2.0,True,False,ccw,1.331757497266756e+16,2701.845612837673,3794.1301844764143,1200.0000000000011
45.0,25250.0,0.05,2.0,1.0,0.5,0.5,0.0,0.0,-2.0,True,False,cw,1.3758659129095222e+16,53.85725499904162,75.09820963475872,1200.0000000000011
45.0,25250.0,0.05,51.0,0.0,1.0,0.0,1.0,360.0,-2.0,False,True,cw,2.331586206528056e+16,43.30889898405592,75.05499822000287,1800.0000000000016
45.0,500.0,5.0,2.0,0.0,0.0,0.5,0.0,180.0,2.0,False,True,ccw,450756955142035.9,85.78261916894003,148.70522436388424,13200.000000000013
